% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.335
% Date,"Oct 14 2025, 10:11"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
5.000000000000001E-7,4.0E-6,1.4547519394214923+1.702546081189519E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,8.52410238070844E-12,0.038329623622632286
5.000000000000001E-7,4.0E-6,1.4548438904854437+2.2139118134036307E-16i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,8.600101831421191E-12,0.03799090317507857
5.000000000000001E-7,4.0E-6,1.4593478367190902,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.320515451758766E-12,0.05169287828928931
5.000000000000001E-7,4.0E-6,1.4593502814709745,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,6.325458323267649E-12,0.05165248417992203
5.000000000000001E-7,4.9999999999999996E-6,1.4574339751919783-4.831379732697595E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3116817726708908E-11,0.02490891028454627
5.000000000000001E-7,4.9999999999999996E-6,1.457468583750196+5.353562418450239E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3239834895947293E-11,0.024677470568258288
5.000000000000001E-7,4.9999999999999996E-6,1.4604006764465913,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,9.764167729656397E-12,0.033461698428324305
5.000000000000001E-7,4.9999999999999996E-6,1.4604020004927944,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,9.770524396968972E-12,0.03343992837013904
5.000000000000001E-7,5.999999999999999E-6,1.458905930796983+1.292328089723794E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.875741692798587E-11,0.01741847703378961
5.000000000000001E-7,5.999999999999999E-6,1.4589142932447425+8.276135767011958E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.8851982375907178E-11,0.017331102345549267
5.000000000000001E-7,5.999999999999999E-6,1.46097990679793,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3959514814463785E-11,0.023405228642675326
5.000000000000001E-7,5.999999999999999E-6,1.4609802012406594,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.3962507893902806E-11,0.023400211370051504
5.000000000000001E-7,7.0E-6,1.4598022353867997-2.0385424637819063E-12i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.0344563732518695E-11,0.01605960394476786
5.000000000000001E-7,7.0E-6,1.4598032549349762-3.741292732497786E-13i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,2.225194071218804E-11,0.014683017548864002
5.000000000000001E-7,7.0E-6,1.4613322728570215,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.8901365581305638E-11,0.01728582173430293
5.000000000000001E-7,7.0E-6,1.4613324439797877,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,1.8905557313042658E-11,0.017281989129616152
5.000000000000001E-7,8.0E-6,1.4603876006182719-4.903380051171265E-10i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.272537889114665E-11,0.009983861059641663
5.000000000000001E-7,8.0E-6,1.460392692501276+1.8418123029935238E-11i,5.995849159999999E14,5.000000000000001E-7,1.4623253956147793,3.220947718306998E-11,0.010143773340880945
