% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 11:52"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
1.0777777777777779E-6,7.0E-6,1.444973171752452-7.97171155778856E-14i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,1.966106657904221E-11,0.0077093349965558665
1.0777777777777779E-6,8.0E-6,1.4459995379411048+7.955142744176169E-14i,2.7815795072164947E14,1.0777777777777779E-6,1.449467851000407,2.5446998964144954E-11,0.005956448886605207
1.2222222222222223E-6,1.0E-6,1.253619664767564-2.147619584781795E-15i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,6.279499885363854E-13,0.21285212179901764
1.2222222222222223E-6,2.0E-6,1.387840691292659-6.820088504812291E-11i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,1.9913394111606673E-12,0.06712089696740016
1.2222222222222223E-6,3.0E-6,1.419200428428647+3.56007750122886E-11i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,4.077395462691963E-12,0.03278084960525109
1.2222222222222223E-6,4.0E-6,1.4311026970449072+6.842245065685847E-16i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,6.906448708626696E-12,0.01935299791290508
1.2222222222222223E-6,4.9999999999999996E-6,1.436863216714515-6.47165720144303E-13i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,1.0479819379753095E-11,0.012754083119206155
1.2222222222222223E-6,5.999999999999999E-6,1.4400803266076252+1.5922684511532152E-10i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,1.4796407993713183E-11,0.009033306428183731
1.2222222222222223E-6,7.0E-6,1.4420621468099706+2.881732585891977E-14i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,1.9860581617824365E-11,0.006729938227170626
1.2222222222222223E-6,8.0E-6,1.4433677982157604+2.825425685084579E-13i,2.4528473836363634E14,1.2222222222222223E-6,1.4477992462379121,2.567154360060688E-11,0.005206562157815812
1.3666666666666668E-6,1.0E-6,1.2168220574375581-4.3418477310299197E-14i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,6.537700008076768E-13,0.18283764796620328
1.3666666666666668E-6,2.0E-6,1.3729745062238514-1.3879746463443275E-10i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,2.0574546989363764E-12,0.058097886344876865
1.3666666666666668E-6,3.0E-6,1.4109889505189404-1.1453003536267365E-10i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,4.173167957827467E-12,0.028643412023312668
1.3666666666666668E-6,4.0E-6,1.4255488930367433+1.6931600533760537E-9i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,7.029601186503342E-12,0.01700434577825557
1.3666666666666668E-6,4.9999999999999996E-6,1.4326283251599192-8.397905795989377E-14i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,1.062960891026305E-11,0.011245359097184352
1.3666666666666668E-6,5.999999999999999E-6,1.436594230160272+7.433374907818972E-12i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,1.4973213522030225E-11,0.007983174024912375
1.3666666666666668E-6,7.0E-6,1.439041888812599+1.7735578929902924E-10i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,2.0063388273202593E-11,0.005957805712118535
1.3666666666666668E-6,8.0E-6,1.4406570036260196+4.98278351673738E-10i,2.193603351219512E14,1.3666666666666668E-6,1.446162072817894,2.5900137998137963E-11,0.004615178856079148
1.5111111111111112E-6,1.0E-6,1.18100312098188-5.054011501699677E-11i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,6.763987457976347E-13,0.1598284264551316
1.5111111111111112E-6,2.0E-6,1.357142117936956+4.936632541740587E-11i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,2.1238669795955455E-12,0.05090137387871994
1.5111111111111112E-6,3.0E-6,1.4021830672209932-5.001099339021889E-11i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,4.270639485561259E-12,0.02531418246905772
1.5111111111111112E-6,4.0E-6,1.4196007121458092+6.488812919362493E-10i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,7.155108981806963E-12,0.015109168493721363
1.5111111111111112E-6,4.9999999999999996E-6,1.42810924225572-1.0670384803038838E-14i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,1.078216096402918E-11,0.010026538052782119
1.5111111111111112E-6,5.999999999999999E-6,1.4328903200148326+2.6708560721147607E-14i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,1.515302090192889E-11,0.007134402301477655
1.5111111111111112E-6,7.0E-6,1.435846634520515+9.27605491579815E-11i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,2.0269533786695573E-11,0.0053335093117938305
1.5111111111111112E-6,8.0E-6,1.4378004720764224+9.583235577141339E-11i,1.9839206779411762E14,1.5111111111111112E-6,1.444487758894573,2.613261707665673E-11,0.00413688942366316
1.6555555555555557E-6,1.0E-6,1.1473033958054923+3.859822281998672E-14i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,6.957405550063509E-13,0.14182805204168936
1.6555555555555557E-6,2.0E-6,1.3404103092380888-1.7569973282993255E-11i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,2.1901597722172876E-12,0.04505403162576437
1.6555555555555557E-6,3.0E-6,1.3927717591800144-2.4660799890798613E-11i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,4.3696567617065815E-12,0.02258198596001773
1.6555555555555557E-6,4.0E-6,1.413229822052751+2.5008069179301717E-10i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,7.282953233925465E-12,0.013548834445799273
1.6555555555555557E-6,4.9999999999999996E-6,1.4232712901496614-1.0729450507918682E-15i,1.8108269275167784E14,1.6555555555555557E-6,1.442734448382531,1.093754504520395E-11,0.009021725372113844
