% Model,optical_fiber.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 14 2025, 13:26"
% Table,Accumulated Table - 
% wv0 (m),D_core (m),Effective_mode_index (1),"Frequency (Hz), Frequency","Initialization of wavelength (m), Wavelength","Silica RI (1), Silica RI",Effective modal area,Nonlinear coefficient
1.065217391304348E-6,4.0E-6,1.436757185288148+2.6881870168360325E-15i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,6.775248421450454E-12,0.022635481869309845
1.065217391304348E-6,4.9999999999999996E-6,1.441216580896497-8.20990318810446E-12i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,1.0320043215464568E-11,0.014860501027166309
1.065217391304348E-6,5.999999999999999E-6,1.4436985945501928-1.2969272608783777E-10i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,1.460755498769547E-11,0.010498746226387239
1.065217391304348E-6,7.0E-6,1.4452244660395337-1.326361047425578E-13i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,1.9643874312869518E-11,0.007807065467902059
1.065217391304348E-6,8.0E-6,1.446228003673229-1.252889561276402E-12i,2.814378177142857E14,1.065217391304348E-6,1.4496178519565937,2.5427677585380798E-11,0.006031263071071193
1.1217391304347827E-6,1.0E-6,1.2791960258062576-3.4392224428701535E-16i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,6.082967050875561E-13,0.23941198216688445
1.1217391304347827E-6,2.0E-6,1.3975921118688235-7.994498322057389E-11i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,1.9457244043166715E-12,0.07484796900707133
1.1217391304347827E-6,3.0E-6,1.424580394220645+6.430898757237301E-10i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,4.0118388162705725E-12,0.03630093993805521
1.1217391304347827E-6,4.0E-6,1.4347609104310999+2.2001803358961848E-15i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,6.822162580630098E-12,0.02134711950783585
1.1217391304347827E-6,4.9999999999999996E-6,1.4396723106074316-3.497696453798414E-12i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,1.0377204712115526E-11,0.01403398351972063
1.1217391304347827E-6,5.999999999999999E-6,1.442409264493616+2.64491478938208E-10i,2.6725684240310075E14,1.1217391304347827E-6,1.448950849646119,1.4675144222323123E-11,0.009923822056144829
